time,open,high,low,close,Volume
1499990400,0,0,0,0,0
1500076800,0,0,0,0,0
1500163200,0,0,0,0,0
1500249600,0,0,0,0,0
1500336000,0,0,0,0,0
1500422400,0,0,0,0,0
1500508800,0,0,0,0,0
1500595200,0,0,0,0,0
1500681600,0,0,0,0,0
1500768000,0,0,0,0,0
1500854400,0,0,0,0,0
1500940800,0,0,0,0,0
1501027200,0,0,0,0,0
1501113600,0,0,0,0,0
1501200000,0,0,0,0,0
1501286400,0,0,0,0,0
1501372800,10627180.799999999,11208778,9533549.9,10692500.629999999,293106.710237
1501459200,10711209.760000002,11415460.499999998,9760596.42,10435129.74,293106.710237
1501545600,10426562.31,10972670.82,9233565,10003653,293106.710237
1501632000,10007316,10488000,9571800,10078685.280000001,293106.710237
1501718400,10078685.280000001,10859177.92,9710390.34,10712573.95,293106.710237
1501804800,10712458.899999999,11041044.24,10203441.989999998,10723380,293106.710237
1501891200,10708393.56,15028470,10083052.8,13015316.559999999,293106.710237
1501977600,13014877.88,13462946.84,12367319.1,13081142.25,551054.402344
1502064000,13056910.020000001,15222340,12931974.000000002,14952645.7,551054.402344
1502150400,14935663.860000001,23034000,14526600,22521906,551054.402344
1502236800,22359497.599999998,26412639.599999998,18436576,24891903.54,551054.402344
1502323200,24718068.06,35328208,23840424,34874340.54000001,551054.402344
1502409600,34843380,41081040,30214260.37,39144299.339999996,551054.402344
1502496000,39234294.56,47684014,33057331.199999996,44426172.4,551054.402344
1502582400,44425480.96,104741620,43664875.86,85942044,4910935.78125
1502668800,86728494.78,155513125.60000002,70021193.60000001,130461544.08,4910935.78125
1502755200,130890217.39999998,145191200,83687400,106597091.17,4910935.78125
1502841600,106471618.75,148023424.65999997,99741554.30000001,144063836,4910935.78125
1502928000,143509470.99999997,219291519.99999997,127516626,196180161,4910935.78125
1503014400,193842864.06000003,282989616,174858700.96,240665900,4910935.78125
1503100800,240665900,245835599.99999997,169653900,204046902.15000004,4910935.78125
1503187200,195719881.70000002,268186749.99999997,180064000,250988771.2,44093712.6111
1503273600,250949769.83999997,293637600,233040969.78,271948864,44093712.6111
1503360000,271948182,284738995.59000003,193996800,248151495.00000003,44093712.6111
1503446400,247714032.00000003,296573857.03000003,243525645.94000003,259271669.44,44093712.6111
1503532800,260133779.35999998,281001300,216376210,236088666.00000003,44093712.6111
1503619200,240043248,289702597.96,234418729.99999997,259572848.19999996,44093712.6111
1503705600,259107450.3,260438887.99999997,187699805.64000002,218822689.85999998,44093712.6111
1503792000,218831356.61999997,235041550,180180569.03999996,200014762.48,24181805.8194
1503878400,199656480.01,224381320.28000003,188443421.01,211461537.20999998,24181805.8194
1503964800,209651235.00000003,238208229.4,195044974.8,228629640.24,24181805.8194
1504051200,227136944.92,241302595.6,203794500,235885655.99999994,24181805.8194
1504137600,235695577.84999996,248267441,210979692,224882084.26000002,24181805.8194
1504224000,229123981.22000003,245259629.99999997,209736612.09000003,243825939.69999996,24181805.8194
1504310400,243870730.5,291324150,170563000.00000003,199631060.1,24181805.8194
1504396800,198002695.49999997,203980000,137061945.00000003,156958309.5,15014083.6014
1504483200,157432044.96,157788546.06,52228836.5,102618061,15014083.6014
1504569600,101324659.80000001,115939665.92,69633582,98389721.08,15014083.6014
1504656000,98408967.02000001,120819540.00999999,65341943.58,100406440.00000001,15014083.6014
1504742400,100406658.00000001,157992692,91003600,138445385,15014083.6014
1504828800,138445385,141920090.25000003,84756086.57999998,100465288.00000001,15014083.6014
1504915200,100824325.59,104895730.99999999,82863600,96476549.52,15014083.6014
1505001600,97215998.03999999,100669627.6,82606000,94240479.78,3283215.51562
1505088000,93665492.23,114061438.00000001,88780525.60000001,104295007.59,3283215.51562
1505174400,104086284.21000001,122556689.39999999,97104000,104188823.2,3283215.51562
1505260800,104139882.00000001,104353125.8,82956223,93614669.46000001,3283215.51562
1505347200,93542699.58,95768890.80000001,65153370,68487248.22,3283215.51562
1505433600,68500159.38000001,87080720,51861574.50000001,79975716.14999999,3283215.51562
1505520000,79973122.35,94886050,71043000,79531108.74,3283215.51562
1505606400,79321624.33000001,83523592.8,71822620,78571135.5,2296858.71503
1505692800,78570277.5,94817977.3,76913689.56,90559226.40000002,2296858.71503
1505779200,91052094,92277160.3,76967000,82123678.4,2296858.71503
1505865600,82049791.20000002,85450950,72976516.56,77485325.53999999,2296858.71503
1505952000,77272272,79152822,67172400,70170770,2296858.71503
1506038400,69732138.24,74860616,66330264.00000001,71828199.3,2296858.71503
1506124800,71837277.99,78487339.75,70247904,76970355.39,2296858.71503
1506211200,77063210.52999999,80961550,72300000.00000001,78403315.34,2271460.70486
1506297600,78466679.98,94285761.22000001,75629896.46999998,92268900,2271460.70486
1506384000,92331543,95283970,84759627.32,86302601.91,2271460.70486
1506470400,86215922.1,122287752.35999998,85140000,114980759.49,2271460.70486
1506556800,115064271.54,146077042.10000002,111586033.5,137166500.68,2271460.70486
1506643200,137121596.19000003,140779746,111816178.02,127027009.99999999,2271460.70486
1506729600,126942220,136636882,118679471.04,127931133.48,2271460.70486
1506816000,127641285.45,152764978.00000003,122474800,151460566.44,6513242.00694
1506902400,151183187.33,200767958,149691392,196536295.92,6513242.00694
1506988800,196519988.90999997,203328750,164033802.00000003,184290256.83,6513242.00694
1507075200,185136185.53999996,187174614.00000003,150385234.41,163713544.47,6513242.00694
1507161600,163671055.38,176446746.63,140276844,167738208.91,6513242.00694
1507248000,167738208.91,177000000,149744000,160975403.2,6513242.00694
1507334400,160722296.64,164952480,147576074.76,158743390.4,6513242.00694
1507420800,157908794.88,167798396,110993400,119621047.67999999,4461479.08681
1507507200,119547220,164826200,116712782,143641410.9,4461479.08681
1507593600,142854861.67000002,151614963.63,130664699.99999999,140365265.95000002,4461479.08681
1507680000,139896873.49999997,153641559,134185000,144173276.99,4461479.08681
1507766400,144173276.99,162800055,114098695.32,135536940,4461479.08681
1507852800,135512048,157876995.72,110021000.00000001,145732847.20000002,4461479.08681
1507939200,145732331.66,156486446,139178830.4,153484729.52999997,4461479.08681
1508025600,153318579.57000002,168481169.99999997,129954585.00000001,155799850.7,5063933.89062
1508112000,155915609.52,164039243.28,134816400,144476129.4,5063933.89062
