Date,Symbol,Open,High,Low,Close,Volume,Price,Log_Volume,Volatility of Intraday Price,7D_EWMA_Intraday_Price_Volatility,Return,Lagged_Return,σ_Rt,Amihud,σ_LIQt,Log_Cap,Datetime,BitcoinDominance,RegSin,RegEU,Year_x,Month_x,European_News_Index,Year_y,Month_y,SEPU
2017-12-13,LTCUSDT,272.0,330.0,260.0,290.01,9565.16019,,9.165882629251104,0.22585677404635043,0.22585677404635043,,,,0.0,,23.501507536073923,2017-12-13,61.42747531416699,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-14,LTCUSDT,290.01,302.72,252.0,272.4,9631.98382,5.799092654460526,9.172844487729916,0.13711843932206227,0.2036721903652784,-0.06264383086926646,,,0.006829269912191597,,23.455586548552777,2017-12-14,58.47240352910137,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-15,LTCUSDT,272.4,314.21,239.99,294.0,16579.78235,5.712808285863513,9.715939301341361,0.2533564134437491,0.21609324613489606,0.07630819306332447,-0.06264383086926646,,0.007853918257063372,,23.43468185026145,2017-12-15,59.10295930195918,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-16,LTCUSDT,294.0,305.0,285.0,293.97,9102.10005,5.750061552176929,9.116260440605826,0.05877679959767698,0.17676413450059128,-0.00010204602284476255,0.07630819306332447,,1.1193846809183638e-05,,23.495881003853796,2017-12-16,59.792117446283484,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-17,LTCUSDT,293.01,328.8,290.0,311.4,14682.26118,5.720311776607412,9.594395321642049,0.12331293302430729,0.16340133413152028,0.057600538084060925,-0.00010204602284476255,,0.006003561053413295,,23.542609366496723,2017-12-17,59.51041304140068,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-18,LTCUSDT,311.23,360.96,277.0,352.0,17210.06137,5.7954496631820245,9.753249455149255,0.25915953263457525,0.18734088375728403,0.12255291619819914,0.057600538084060925,,0.012565342121286252,0.0048548112731823054,23.618937724749628,2017-12-18,57.225346030404836,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-19,LTCUSDT,352.0,366.96,303.01,338.48,23190.32542,5.888767148869639,10.051490462923866,0.1567162638794938,0.17968472878783648,-0.03916616918628498,0.12255291619819914,0.0716062825143642,0.0038965533848690516,0.004178385187877978,23.661176856919248,2017-12-19,53.684118070753534,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-20,LTCUSDT,336.05,357.0,260.0,302.7,31586.76711,5.9052528502889166,10.360493549527796,0.24122512593897988,0.19506982807562234,-0.11172279038413921,-0.03916616918628498,0.08523139247903441,0.010783539398973058,0.004590299812871289,23.580160016452666,2017-12-20,50.74880732457733,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-21,LTCUSDT,303.8,325.16,267.01,302.0,26212.1583,5.877735781779639,10.173978639359829,0.17112361897245268,0.18908327579982992,-0.0023151986528033,-0.11172279038413921,0.08029726194000844,0.00022756079355686342,0.0052639418826306746,23.53451113152326,2017-12-21,48.530420524450115,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-22,LTCUSDT,303.0,315.0,177.58,250.99,81233.42425,5.784317368878372,11.3050820701485,0.4551138121797007,0.2555909098947976,-0.18501391967419523,-0.0023151986528033,0.11173580420000939,0.01636555298990102,0.005987356837901096,23.390523897424846,2017-12-22,48.58913834278274,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-23,LTCUSDT,250.99,301.52,214.91,253.44,38709.14008,5.752572638825633,10.56383102891007,0.2961467391307802,0.26572986720379327,0.009714010925386507,-0.18501391967419523,0.10610913989290012,0.000919553796231892,0.006696313477816217,23.425390106567313,2017-12-23,48.64632548012319,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-24,LTCUSDT,253.44,277.0,220.03,262.9,33435.37202,5.70883634895888,10.417369661089854,0.21361501654269227,0.25270115453851805,0.03664662310977444,0.009714010925386507,0.08425203109947126,0.00351783840854319,0.006325038829495447,23.40948857387769,2017-12-24,48.25358975957563,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-25,LTCUSDT,262.9,277.5,251.4,261.2,24415.6917,5.6240175061873385,10.102981307038538,0.08395839080508494,0.21051546360515977,-0.006487334333559461,0.03664662310977444,0.08602479074651358,0.0006421207895376259,0.006666840262497712,23.412560089965854,2017-12-25,47.56391197349473,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-26,LTCUSDT,261.17,282.82,258.0,277.98,21987.89021,5.625820933186489,9.998247135789988,0.09069631899464209,0.18056067745253035,0.06226277125433615,-0.006487334333559461,0.08761500242452822,0.006227368698605048,0.006173513698360668,23.41939183480333,2017-12-26,48.68034354225031,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-27,LTCUSDT,277.98,284.34,245.29,262.59,25036.78582,5.64481065287963,10.128101455153866,0.1089417975587448,0.16265595747908396,-0.056955288244155876,0.06226277125433615,0.08896206624327002,0.005623491085308309,0.005780975767611161,23.411118155665363,2017-12-27,49.36235881986447,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-28,LTCUSDT,262.61,266.7,222.03,244.68,34832.27138,5.650170705207552,10.4582995745556,0.13834175405130708,0.15657740662213973,-0.07064264603809207,-0.056955288244155876,0.05192747327224192,0.006754697122079128,0.0026894498360575795,23.33427659289411,2017-12-28,48.65062713893388,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-29,LTCUSDT,244.68,261.0,233.97,238.27,34985.03167,5.586124431187969,10.462675582424692,0.08873729012120712,0.1396173774969066,-0.026546749927806566,-0.07064264603809207,0.052087972412848904,0.002537281187653382,0.0023895501519642266,23.313167799273227,2017-12-29,46.71794834553665,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-30,LTCUSDT,238.27,244.0,193.2,206.03,52930.1782,5.564520407322694,10.876728931557116,0.1379453786149702,0.1391993777764225,-0.14538269519218985,-0.026546749927806566,0.06941380684718247,0.013366398676203548,0.004372736250131674,23.215629510334345,2017-12-30,44.06374270757773,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2017-12-31,LTCUSDT,206.11,234.37,202.98,223.69,29739.10081,5.497168225293202,10.30021798452007,0.14129010228224978,0.1397220589028793,0.08223937551565313,-0.14538269519218985,0.0856850551753412,0.00798423641511748,0.003575665982198907,23.212497273656357,2017-12-31,43.288687685887425,0,0,7.6093665379542115,2.4849066497880004,5.153291594497779,7.6093665379542115,2.4849066497880004,4.991169952272935
2018-01-01,LTCUSDT,223.69,231.19,212.74,222.61,20221.253,5.456901063163783,9.914489459002674,0.07084473011462299,0.12250272670581523,-0.004839803307783149,0.08223937551565313,0.07568146988232348,0.00048815456688881267,0.004498630773515156,23.22187356788755,2018-01-01,42.52283321665496,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
2018-01-02,LTCUSDT,222.62,256.49,222.62,247.33,63293.12934,5.443239883267646,11.055532061009014,0.1416233954309809,0.12728289388710665,0.10530211585726751,-0.004839803307783149,0.09392454924728942,0.00952483474121071,0.0046894237071893555,23.296515910020105,2018-01-02,41.93932038393929,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
2018-01-03,LTCUSDT,247.33,253.4,233.56,238.77,71369.27484,5.547089677496061,11.175622731341825,0.056925925598239675,0.10969365181488991,-0.03522273183363755,0.10530211585726751,0.09039594601717267,0.003151746679391391,0.004917808713751705,23.324841197303495,2018-01-03,40.69354880408824,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
2018-01-04,LTCUSDT,238.89,240.0,219.38,233.0,78182.30493,5.534969267887039,11.266798621260776,0.07448603402946287,0.10089174736853315,-0.024462291920167197,-0.03522273183363755,0.0902962608168723,0.002171183913237443,0.004973926891654748,23.275941650024183,2018-01-04,38.936285673859636,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
2018-01-05,LTCUSDT,233.04,250.99,230.0,240.54,65010.14465,5.480638923341991,11.08229860823834,0.08407604229182065,0.09668782109935503,0.031847942316769996,-0.024462291920167197,0.0578471015371119,0.002873766845904597,0.0035570010878416126,23.282647004308885,2018-01-05,40.98915858359943,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
2018-01-06,LTCUSDT,240.95,315.0,238.73,275.28,100812.2137,5.525413097700675,11.521014794937928,0.2749802020105265,0.14126091632714788,0.1349023656067542,0.031847942316769996,0.07069086641614063,0.011709243326900962,0.004511825295680919,23.40705811113387,2018-01-06,42.02615178267121,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
2018-01-07,LTCUSDT,276.24,287.0,262.0,269.01,43811.61108,5.752572638825633,10.687654154384242,0.06985712505312806,0.12340996850864293,-0.023040207857158948,0.1349023656067542,0.07307152670211452,0.0021557778277946516,0.004221309232642606,23.425137279841884,2018-01-07,40.36564607793276,0,0,7.609862200913554,0.0,5.278114659230517,7.609862200913554,0.0,4.984631531924818
