Date,Symbol,Open,High,Low,Close,Volume,Price,Log_Volume,Volatility of Intraday Price,7D_EWMA_Intraday_Price_Volatility,Return,Lagged_Return,Log_Cap,Datetime,BitcoinDominance,RegSin,RegEU,European_News_Index,SEPU
2019-07-05,BTC,11145.67,11406.83,10796.44,10970.73,63534.350582,9.392661928770137,11.059335992665131,0.0422324787953895,0.0713159187659896,-0.0156957814110771,-0.0665268006700167,26.007918779968836,2019-07-05,64.68770592087671,0,0,5.438079308923196,5.676954346541496
2019-07-06,BTC,10982.41,11665.0,10964.51,11256.49,51469.496331,9.341967577787187,10.848744606917942,0.061457936112335,0.068851423102576,0.0260474918259769,-0.0156957814110771,26.02211284567145,2019-07-06,64.72220906417722,0,0,5.438079308923196,5.676954346541496
2019-07-07,BTC,11256.45,11538.0,11094.37,11406.24,38884.795599,9.36434818445553,10.568358594563858,0.0370229907293983,0.0608943150092816,0.0133034365064064,0.0260474918259769,26.032252998039603,2019-07-07,64.66534958632135,0,0,5.438079308923196,5.676954346541496
2019-07-08,BTC,11410.0,12338.03,11220.0,12238.6,52182.367215,9.353401214816834,10.862499923989796,0.0942705353695719,0.0692383700993542,0.072974091374546,0.0133034365064064,26.077699738388542,2019-07-08,65.2153898039061,0,0,5.438079308923196,5.676954346541496
2019-07-09,BTC,12238.6,12794.73,12068.0,12543.41,78442.130343,9.420441641279028,11.27011643882726,0.056044370834017,0.0659398702830199,0.0249056264605427,0.072974091374546,26.1252782550839,2019-07-09,66.30688620351148,0,0,5.438079308923196,5.676954346541496
2019-07-10,BTC,12548.51,13147.08,11569.0,12108.37,109246.044997,9.456788646378271,11.601357910902092,0.0982950048995017,0.0740286539371403,-0.0346827537328365,0.0249056264605427,26.116467449351788,2019-07-10,67.18313010803865,0,0,5.438079308923196,5.676954346541496
2019-07-11,BTC,12108.11,12111.73,11000.0,11342.89,87506.461058,9.483954959716502,11.379467910282475,0.0545433207247609,0.0691573206340455,-0.0632190790337594,-0.0346827537328365,26.055500673424937,2019-07-11,67.52984184424199,0,0,5.438079308923196,5.676954346541496
2019-07-12,BTC,11342.88,11885.0,11073.0,11757.22,56321.858281,9.401929683486886,10.938837985333764,0.068903721764526,0.0690939209166656,0.0365277279423497,-0.0632190790337594,26.048782307811717,2019-07-12,67.58141804635044,0,0,5.438079308923196,5.676954346541496
2019-07-13,BTC,11757.22,11799.98,10830.0,11355.76,54245.594548,9.383032379794294,10.9012770616168,0.0648506308345442,0.0680330983961353,-0.0341458269897134,0.0365277279423497,26.041986951357188,2019-07-13,67.54056578187024,0,0,5.438079308923196,5.676954346541496
2019-07-14,BTC,11355.78,11452.0,10103.0,10174.18,72517.579236,9.375853115537064,11.191584283671816,0.0433379232360084,0.0618593046061035,-0.1040511599399776,-0.0341458269897134,25.981952003757293,2019-07-14,67.7835663904129,0,0,5.438079308923196,5.676954346541496
2019-07-15,BTC,10174.18,11100.0,9860.0,10838.72,81922.426332,9.345919666218006,11.313528058145268,0.1152621051673898,0.0752100047464251,0.0653163203324493,-0.1040511599399776,25.95453489360375,2019-07-15,68.76012416210125,0,0,5.438079308923196,5.676954346541496
2019-07-16,BTC,10833.78,11028.0,9350.01,9439.59,97219.443413,9.314700387300425,11.484726005557343,0.0658582508189754,0.0728720662645627,-0.1290862758702133,0.0653163203324493,25.922419880504737,2019-07-16,68.99108094371034,0,0,5.438079308923196,5.676954346541496
2019-07-17,BTC,9430.17,9957.0,9060.0,9667.92,84942.672717,9.308192772143688,11.349731869312883,0.0879363064431527,0.0766381263092102,0.0241885505620476,-0.1290862758702133,25.860166020407892,2019-07-17,68.16333024250717,0,0,5.438079308923196,5.676954346541496
2019-07-18,BTC,9668.86,10788.0,9252.0,10627.16,80283.310252,9.206031100388085,11.293317035891771,0.1514242912517957,0.0953346675448566,0.099218859899544,0.0241885505620476,25.917089046271,2019-07-18,67.84054811497691,0,0,5.438079308923196,5.676954346541496
2019-07-19,BTC,10628.64,10769.71,10121.84,10504.29,56546.932133,9.28618968425962,10.942826229550992,0.0512840987738701,0.0843220253521099,-0.0115618848309425,0.099218859899544,25.95638764760481,2019-07-19,68.20944094221846,0,0,5.438079308923196,5.676954346541496
2019-07-20,BTC,10505.78,11068.99,10350.0,10740.23,47331.899848,9.284492843139809,10.764939762555285,0.0637194653567058,0.0791713853532589,0.0224612991453967,-0.0115618848309425,25.973915721321525,2019-07-20,67.83567971728284,0,0,5.438079308923196,5.676954346541496
2019-07-21,BTC,10740.27,10817.9,10288.0,10589.45,38834.287935,9.31190278396124,10.567058845034817,0.0400523381466695,0.0693916235516115,-0.0140388055004407,0.0224612991453967,25.96785765578463,2019-07-21,67.67456243174752,0,0,5.438079308923196,5.676954346541496
