time,open,high,low,close,Volume
1499990400,2307848264.28,2434983752.7912025,1866877948.0231202,2149754225.166577,575009152.444
1500076800,2145937179.6184292,2408435929.5046377,1781586133.7351213,1994987250.9140227,575009152.444
1500163200,2000346217.838002,2296141664.1603017,1842575202.5783403,2136165723.1526554,322801996.889
1500249600,2133672697.6005776,2498598152.364316,1895676587.5456104,2215131148.590276,322801996.889
1500336000,2210615907.133368,2429835472.395344,2088604631.615656,2277724204.6921463,322801996.889
1500422400,2288900793.614407,2415135634.54144,2046694448.967012,2112300734.140847,322801996.889
1500508800,2108102929.5430722,2788878980.770636,1774525186.9050732,2343761606.643155,322801996.889
1500595200,2343019925.15712,2647333936.669609,2112133041.8158145,2361313065.95496,322801996.889
1500681600,2357004198.0885067,2558546223.251876,2182037777.1485467,2431840959.635878,322801996.889
1500768000,2435404118.7913976,2483448482.21008,2213174921.45904,2343544473.2474084,145456812.167
1500854400,2351326519.2960925,2407146053.4968,2250092966.3036437,2322964280.4197645,145456812.167
1500940800,2329125094.8052006,2421347239.9566374,2018774280.7231998,2204027143.042642,145456812.167
1501027200,2203824709.9637537,2306282015.5942826,2043127006.9055998,2190463532.012696,145456812.167
1501113600,2190858376.127101,2347361465.9648995,2049333177.2010543,2193692361.04427,145456812.167
1501200000,2198973678.183125,2345293412.85855,1881597617.5909407,2072692539.940772,145456812.167
1501286400,2072982042.355737,2224342791.350919,1946600045.6716044,2105497436.959335,145456812.167
1501372800,2110625806.8807552,2247323064.6883826,1929261906.3354044,2074518892.0946639,98071662.4444
1501459200,2077083323.2415192,2389214797.0031247,1821713308.6381154,2204932618.0558996,98071662.4444
1501545600,2204932618.0558996,2478519877.448052,2006850338.1859102,2253923062.7226777,98071662.4444
1501632000,2252607924.827376,2286218292.75192,2112883233.0605,2163172786.2858834,98071662.4444
1501718400,2163172786.2858834,2292814709.79197,2104170250.4639604,2206913822.9700856,98071662.4444
1501804800,2204993415.566132,2297294157.5257416,2149535403.318081,2234877041.31713,98071662.4444
1501891200,2231604780.380553,2721543891.030842,2083553741.0978208,2443770356.39382,98071662.4444
1501977600,2454349186.3897233,2516432246.5376096,2261989943.5283217,2388950605.0239897,192604853.111
1502064000,2384525181.050057,2583688073.3671,2247658353.5112,2408640360.5342474,192604853.111
1502150400,2406505795.6023083,2633997987.6441,2288360555.25,2530255567.732015,192604853.111
1502236800,2530002437.6348724,2686159074.3978057,2282115958.689078,2433117974.9855094,192604853.111
1502323200,2436792058.3589683,2589667798.93192,2360917158.7870235,2441761575.708329,192604853.111
1502409600,2437452282.6962,2709008327.0659504,2285932770.3420725,2482810017.2587113,192604853.111
1502496000,2487360057.838369,2782769109.1037602,2251374753.1067414,2421698591.077437,192604853.111
1502582400,2426369358.4715157,2655210126.8129,2161334776.4743333,2330224871.576835,220172636.556
1502668800,2330012298.609167,2692487087.956431,2167469984.7925677,2372769244.1088624,220172636.556
1502755200,2380880088.9251595,2614553063.1967998,1958733416.284,2252982438.4925275,220172636.556
1502841600,2253703155.8006816,2450271616.5444894,2059327501.154056,2306696563.053705,220172636.556
1502928000,2290272191.12906,2410023414.01472,2127692068.6291835,2259513046.2586436,220172636.556
1503014400,2252607350.0100446,2638140504.976704,2081187006.9806814,2426398454.7395997,220172636.556
1503100800,2434568146.5064,2486822292.0899525,2183085317.595,2327246728.426602,220172636.556
1503187200,2332905885.47954,2502047361.975175,2234229744.0000005,2392168842.04766,135421524.556
1503273600,2391932043.5349603,2613720978.96,2280050295.0837197,2481575384.54816,135421524.556
1503360000,2486596821.15135,2698470080.746545,2097427302,2437941398.8,135421524.556
1503446400,2429907459.998,3531814741.06857,2352859779.34511,2746120887.2202396,135421524.556
1503532800,2755252074.0695596,2966768995.3500004,2474668581.23943,2611189278.50506,135421524.556
1503619200,2616326235.4192004,2771718494.38224,2549022985.355,2689140994.2447896,135421524.556
1503705600,2684319532.4462852,2781682449.8112297,2561949264.2253304,2702280102.8313003,135421524.556
1503792000,2707639343.9205823,3423890354.3024497,2645048127.2950697,3196947153.82,257120493.222
1503878400,3190536692.932664,3496063369.18163,3030934332.0499125,3285544979.3461285,257120493.222
1503964800,3288841422.3168745,3536143878.990955,3007799011.1136603,3320194772.2852545,257120493.222
1504051200,3323810491.8717422,3469298118.9566703,3112468073.5499997,3403994117.93055,257120493.222
1504137600,3401308656.8836994,3924960424.204498,3329648305.2341247,3828686241.3680453,257120493.222
1504224000,3826692393.5662646,4806277002.1875,3667925630.242665,4610918507.86245,257120493.222
1504310400,4610927876.410934,4979251946.315887,3805737555.436625,4168987145.4743996,257120493.222
1504396800,4178302210.131992,4383539923.2942,3876216346.003725,4115547587.947799,1091254795.56
1504483200,4115185512.4651356,4190595788.7729692,3203894485.9884887,3545169935.4415894,1091254795.56
