time,open,high,low,close,Volume
1703462400,497922068496,521035250691,491308826418,512845030830,78476081327.66449
1703548800,513092259106,527290060898,480909681903,508572153950,96223885615.10588
1703635200,508319859809,526952396717,492598577545,515921342544,98577721139.62265
1703721600,516619688551,532454439724,500013281882,508645993167,100763859411.78485
1703808000,508512858363,521106595012,493427517113,506485930552,89068731960.50601
1703894400,506783239897,516973315824,496672744988,505495087254,86242501224.87277
1703980800,505312706845,518897306151,493919016635,502668821056,54277064587.6587
1704067200,502539343074,521790895897,496983449062,518461367054,57326494950.33812
1704153600,518860559267,534508270009,507504668180,513161558978,86079157846.81482
1704240000,513490489770,528934331462,447902880045,489350298302,117634422720.54167
1704326400,490279068681,509963174624,482652285289,501911902115,111235542069.20538
1704412800,502147224913,507246961768,476365497061,490147125792,89762675802.22968
1704499200,491478803037,493644778961,468151372686,478877541286,71064757261.66797
1704585600,479102284805,487824401579,463020304826,467667341113,50506363398.28259
1704672000,467757785738,492164188910,449748269590,487691336705,78847352513.41734
1704758400,488379708696,497590492182,468683358439,480877113503,90670186035.21893
1704844800,481272494172,511873332553,467561325226,503009313908,101939781645.67514
1704931200,503016696058,524873593774,493493807098,507266226128,142391310447.14362
1705017600,507721121051,515937093883,475913033145,488437153550,115037491839.19568
1705104000,488935545287,500636133736,479273572236,495709276476,108775162498.1981
1705190400,495753619198,507026273918,484742247211,487153517023,54175673964.48009
1705276800,487375161027,503934300429,484678497854,494339283238,66370102288.63622
1705363200,494613616949,501159823772,489116225894,498359440631,66124212420.271935
1705449600,498463493143,505283174400,488254127270,495770069825,71047090387.60556
1705536000,495526293015,499780465056,472947941007,480376178961,65690092541.78366
1705622400,480664329668,486439225752,461980680858,480364745820,75039028794.37576
1705708800,480712785142,487982059861,473524802050,483575141781,67819217332.19294
1705795200,483949996907,489664278083,477940726690,480008417577,37553118900.164406
1705881600,479661472027,483236665538,457415486985,461445822100,53987654546.17124
1705968000,461545104531,469144216956,439860702940,458703109011,88121181651.25294
1706054400,459490361579,468944943742,453028026266,464044854677,75193198457.14426
1706140800,464127392536,468140924585,452877392376,460036212538,57160334591.05657
1706227200,460687935660,479097313459,457517341526,474792649931,59898610432.53595
1706313600,474730906479,482248426753,470473847931,478273389598,57026609319.823875
1706400000,478390055078,488194223196,472486567860,477621239644,44858013811.49061
1706486400,478244009526,492634964128,474118920681,489516143354,46246211830.57875
1706572800,489543630475,497998340868,480804420116,484009364084,68121903192.491356
1706659200,484448902824,489334545314,469757313219,474329010774,70021434764.98302
1706745600,475070515225,482372636745,466256096129,479014757676,74594057292.73573
1706832000,479078469350,490634414778,475922838909,484480925594,58710170253.651405
1706918400,485001880323,491363343383,478734279284,482368676402,46704196225.18823
1707004800,482502278316,487576147933,474357998576,478020849219,34188108049.531414
1707091200,478641303761,488506661842,472905511142,479513448907,45437765843.75317
1707177600,478958320730,485908476877,472456646000,479193697165,52546463177.26884
1707264000,479426322153,491864836035,473684324285,488869678469,50468562529.24258
1707350400,489495039957,501170494512,485990460654,494060456765,67321936299.49899
1707436800,494222790117,510526336345,493022623585,505386369603,79662303415.80339
1707523200,505706752411,515654335116,500056284200,508643776480,72008559255.73068
1707609600,508802833963,518555826557,503624598609,508239328935,51907475544.68118
1707696000,508429845611,524287937236,499834231472,519894586250,53564426815.39749
1707782400,520405514492,527548930875,507147730465,517179889608,96317130906.35696
1707868800,517339757437,536125570755,512756199546,531742519162,100324674065.55856
1707955200,532680487895,551549372121,524060900586,538703768899,98139724812.68295
1708041600,540089098760,550674186999,527599980300,538562418375,101712616212.26073
1708128000,539375709644,546421767411,523384592511,537109770553,73358028340.82472
1708214400,537050210564,551791356140,532151797356,544933086882,74245634365.03537
1708300800,545411106066,560350642811,540279109535,550797243522,71412259940.3543
1708387200,551096538946,559487257377,528328715758,545871584356,87011097695.28265
1708473600,546279044091,553888517364,521371230195,540383088163,112325141401.3559
1708560000,541109237367,553249431866,530224676195,539343559514,95726343149.1361
1708646400,539640886401,550585094966,525676626749,536830289924,81148612650.67867
1708732800,537138636969,553983164979,530324252254,548043735745,76758312573.34512
1708819200,548109623894,556428843307,540549851058,550595568600,57310933143.14812
1708905600,553914035590,574707377881,542224892883,569475002509,68787395769.02228
1708992000,570002602842,588752325350,558961940784,574085946839,135005383598.71065
1709078400,574489989511,611424894031,553439555867,591552650209,132950030836.72424
1709164800,592842956724,629765695847,577580469164,595392671858,236311254293.5605
1709251200,596242230845,631845508005,593272577912,620745603161,150285743361.2951
1709337600,621485923227,655526126567,613686348072,645242703814,146284403433.11337
1709424000,645754682795,662681821611,609579121381,645672671610,126381205208.78719
1709510400,645541168903,683872182090,629742433855,664633597248,152321507091.84174
1709596800,665193004610,703532577465,566822422316,634538387548,250135390324.23383
1709683200,634953730804,687631652673,615124409866,667212477647,328237301860.0311
1709769600,667804843401,704193520335,652694115540,687128494038,184440790105.62643
1709856000,687781709946,717405994500,667925720055,695718224741,157663626441.785
1709942400,696872183008,723586296873,688622642361,706673001942,186243347937.89172
1710028800,707147661006,731168137010,683134462755,707420831070,126679133079.54668
1710115200,708045437305,748919582415,679653298336,734570446519,180484430473.0562
1710201600,735021404370,758618323251,694550881874,734651411408,183605046526.2018
1710288000,735172236487,776745063667,720956899415,760032303876,196949755499.20584
1710374400,760868699932,788858506679,716821501172,757650526329,172687969124.86813
1710460800,757787265492,777343596363,686225697363,743729559991,272647230393.6145
1710547200,744214603835,764218109791,685903827221,699905095983,181593753551.27032
1710633600,699968783057,744543723709,677634818422,731688143184,193355559833.97156
1710720000,732908539355,753136793826,695260631877,713073269663,155991016644.76395
1710806400,715631126359,727267266854,647838983630,665307294307,230042983467.2735
1710892800,665250186712,724917264699,645717409742,718980714538,191607703399.98642
1710979200,719100426996,738014707585,692566043716,709636739455,176872357903.45416
1711065600,709913290043,731188752114,680077747217,701114599679,136164021568.74268
1711152000,701255960172,727941584978,691131294144,706523135129,117371079633.74818
1711238400,706596822235,738630949760,701200741348,731891333224,85365120973.20146
1711324800,732065601598,767508413190,723096110734,750321148090,101904907016.4015
1711411200,750604926219,776588273298,736673267223,753149127868,139814993534.39536
1711497600,753276420930,771565553646,726810765623,744519970811,129378218557.25809
1711584000,744544241992,771525148788,732488714718,757962571976,151361021003.82382
1711670400,758114762712,778963856627,739982531061,762638423871,113198614123.549
1711756800,762907171565,778308075560,747451563440,756308210171,98391366077.117
1711843200,756381576210,782871265577,752165245883,776357981306,74258275503.71475
1711929600,774867693113,783368186110,727412886351,746118292743,90305169836.86734
1712016000,746115263209,750180901245,696094016154,709611679657,90305169836.86734
1712102400,709682194053,731578369306,688159783329,706936340922,90306076981.79794
1712188800,706867239492,738459351208,696008636749,719641876094,90059933457.27853
1712275200,724906348204,733457030263,692973228473,712246207715,129480550205.3488
1712361600,712790697229,734231883739,708856851729,726655346304,95271305110.48277
1712448000,726908995263,744383612152,720852229964,733673348267,69390311552.49232
1712534400,733777185064,763808034622,723342277858,751044779316,101867715683.18892
1712620800,750673462099,760742041605,718361342964,727220012676,111773229332.82397
1712707200,726934507950,742225189881,699910702130,731727475792,113377412483.0842
1712793600,734331647567,748461643095,716043807056,728292072853,108453065736.42036
1712880000,728423871691,742913283970,622281391935,666685704164,92949669108.37329
1712966400,667355362304,677701885932,559038203590,615376223303,177501256277.22668
1713052800,616170706227,655582977375,596396357654,649735189441,228541376045.4629
1713139200,649956618343,673454994193,614648957782,631266859696,144665919091.96603
1713225600,631507603831,640569022595,599749447270,625889556480,146367071927.7084
1713312000,626901950809,639071015249,598269026270,613875889393,107099092965.94528
1713398400,614118211359,638294579774,601033921649,631634320013,124356372146.57596
1713484800,632368208990,650565322645,596057240978,633612557761,137292313173.81023
1713571200,634391968028,670280477192,626901692232,665840078856,86442373055.75217
1713657600,666320202685,676908519795,650667501533,661809893595,77035959111.51021
1713744000,660750077477,688614368310,655006232723,679285699461,81983317539.00095
1713830400,680534784016,695267507747,665300985948,676526875665,82583837748.15794
1713916800,676284675831,693837391041,649682956568,658002430355,94753894621.41634
1714003200,657850301204,669430815381,641265973428,657069667138,109974927016.31993
1714089600,657107547504,664332834266,640193737089,645335290807,89119255448.23277
1714176000,645632918559,655163727145,627791620593,647432457613,71808521696.15784
1714262400,647507710274,661376363292,639654874912,643676521200,62574712860.19484
1714348800,643788875158,650874356014,625559280469,640998271723,70966483507.44684
1714435200,640757852364,648358044182,597881794374,614814517598,91791252695.2134
1714521600,614548551506,628977276346,583494631563,618455629284,119892843361.56569
1714608000,619441386061,634531832586,602508669995,626468359374,108413496877.46286
1714694400,626507062727,656149430482,621444307976,650132433580,83485969856.55258
1714780800,650512991836,667307952999,645251339896,654879165445,87480500447.91988
1714867200,655080323146,666951168243,644602267274,659675757615,61770826477.724884
1714953600,659713685074,682681893411,649063434887,657252663014,78291594761.02185
